Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?",PowerShell Empire,Cobalt Strike,Metasploit Framework,Rubeus,B,
"According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?",Hydra,CrackMapExec,John the Ripper,Cain & Abel,D,
Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?,Application Log,User Account Security Log,System Audit Log,User Account Authentication,D,
What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?,Implementing a strict password expiration policy,Using password managers,Enabling multi-factor authentication,Configuring IP address filtering,C,
How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?,By intercepting network traffic to obtain passwords,By guessing passwords using a repetitive or iterative mechanism,By exploiting zero-day vulnerabilities,By social engineering tactics to trick users into revealing passwords,B,
APT29 (G0016) used T1110.001 to attack which type of targets?,Internal networking equipment,Operating system vulnerabilities,A list of mailboxes,Web server configuration files,C,
Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?,LDAP and Kerberos have default settings that disable logging,"SMB creates specific ""logon failure"" event ID 4625",LDAP and Kerberos use encryption that prevents logging,SMB sessions expire more quickly than LDAP and Kerberos sessions,B,
Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?,Multi-factor Authentication,Update Software,Account Use Policies,Password Manager Setup,C,
Which service is commonly targeted by T1110.001 via TCP port 1433?,FTP,Server Message Block (SMB),MySQL,MSSQL,D,
Which tool allows brute-forcing across an entire network as part of T1110.001?,Pony,EMOTET,CrackMapExec,HermeticWizard,C,
In which scenario might an adversary combine brute forcing activity with External Remote Services?,Initial Access,Execution,Persistence,Collection,A,
Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?,APT28,Sandworm Team,Dragonfly,OilRig,B,
"According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?",T1133,T1059,T1110,T1049,C,
Which procedure example includes the use of Ncrack to reveal credentials?,APT39,APT38,Fox Kitten,PoshC2,A,
What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?,Multi-factor Authentication,Account Use Policies,User Account Management,Password Policies,B,T1566 refers to the use of a command and control channel for data exfiltration in ICS environments.
"Considering the MITRE ATT&CK technique T1185 (Browser Session Hijacking), what specific functionality does Agent Tesla leverage to collect user information?",Form-grabbing,HTML injection,Session hijacking,SSL certificate theft,A,T1134 involves the discovery and listing of files and directories on a mobile device by leveraging native features or tools.
Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?,SeTcbPrivilege,SeShutdownPrivilege,SeDebugPrivilege,SeTakeOwnershipPrivilege,C,"T1059 refers to the use of a command shell or scripting interpreter, such as PowerShell or the Bash shell, to execute commands and perform various malicious activities."
What is one method used by adversaries to inherit cookies and authenticated sessions in T1185?,Using DNS poisoning,Injecting software into the browser,Changing browser settings,Launching a SYN flood attack,B,"T1598 involves the active discovery and enumeration of system information, such as network interfaces, processes, and installed software, within an ICS environment."
Which mitigation could help restrict exposure to browser pivoting techniques like T1185?,Network Segmentation,Malware Detection,User Account Management,Email Filtering,C,
How does Grandoreiro implement browser session hijacking techniques?,Form-grabbing,Displaying full-screen overlay images,DNS spoofing,Launching a SYN flood attack,B,
"In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type ""\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?",APT38,Chimera,Calisto,DarkWatchman,B,
"Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?",T1217 - Browser Information Discovery,T1003 - Credential Dumping,T1027 - Obfuscated Files or Information,T1056 - Input Capture,A,
Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?,"Command, File","Command, Network Traffic","File, Process","Command, Process, File",D,
What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?,Credentials In Files,Remote Desktop Data,Browsing History,Network Configurations,C,
"In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?",By frequently updating the extension via legitimate app stores,By installing the extension via email phishing attacks,By creating browser cookies to log user activity,By modifying the browser's update URL to download updates from an adversary-controlled server,D,
Which malicious activity performed by adversaries is linked to the MITRE ATT&CK technique T1176 (Browser Extensions)?,Trojan horse installation,Botnet reconfiguration,Long-term RAT installation,Website defacement,C,
Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?,Setting up a firewall,Using a browser extension allow or deny list,Auditing the installed extensions,Updating antivirus definitions,B,
What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?,Use the latest versions of antivirus software,Ensure operating systems and browsers are using the most current version,Regularly back up all browser extension files,Always use a VPN while browsing,B,
"According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?",It allowed extensions to be installed directly from the command line,It required browser extensions to be signed by the developer,It restricted the use of `.mobileconfig` files and required user interaction,It allowed only approved extensions from the app store,C,
Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?,Least Privilege,Network Segmentation,Restrict File and Directory Permissions,Monitor System Calls,C,
Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?,Command,Process,Network Traffic,File,D,
Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence? (ID: T1037.004),Boot or Logon Initialization Scripts: Launchd,Boot or Logon Initialization Scripts: Systemd,Boot or Logon Initialization Scripts: RC Scripts,Boot or Logon Initialization Scripts: Cron Jobs,C,
Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004),APT29,Green Lambert,iKitten,Cyclops Blink,C,
What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022),Employ system cryptographic signatures,Restrict the use of administrative tools,Restrict File and Directory Permissions,Utilize network segmentation,C,
Which mitigation is recommended for restricting write access to network logon scripts?,M1021: Restrict Registry Permissions,M1023: Restrict Library Access,M1022: Restrict File and Directory Permissions,M1024: Restrict Process Execution,C,
What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?,DS0017: Command,DS0009: Process,DS0022: File,DS0026: Active Directory,D,
What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?,Adversaries modify the /etc/passwd file to include a malicious entry,Adversaries add or insert a path to a malicious script in the com.apple.loginwindow.plist file,Adversaries exploit default passwords on macOS services,Adversaries install a rogue kernel module upon boot,B,
Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?,Login Daemon,Startup Script,Login Hook,Initialization Service,C,
"According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?",DS0015 | Network Traffic,DS0026 | Authentication Logs,DS0017 | Command Execution,DS0022 | File Creation and Modification,D,
"Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?",Empire,Cobalt Strike,DarkGate,KONNI,C,
Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?,Rocke,APT29,RotaJakiro,None of the above,B,
Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?,Restrict File and Directory Permissions,Network Segmentation,Restrict Registry Permissions,User Training,C,
Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?,Process files and modifications,Command and arguments,File creation and modification,Active Directory object modification,D,
Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?,T1533: Data from Local System,T1562: Impair Defenses,T1535: Unused/Unsupported Cloud Regions,T1547: Boot or Logon Autostart Execution,C,
"In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?",Deactivate unused regions in the cloud provider.,Enable all advanced detection services across all regions.,Increase the number of regions under surveillance.,Limit account access to cloud management systems.,A,
Which tactic does MITRE ATT&CK technique T1550.001 pertain to?,Initial Access,Persistence,Defense Evasion,,C,
What is the primary purpose of application access tokens as described in T1550.001?,To directly store user credentials,To make authorized API requests on behalf of a user or service,To serve as alternative passwords for user accounts,To encrypt sensitive user data,B,
Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?,Generate new access tokens,Encrypt communications,Perform REST API functions such as email searching and contact enumeration,Disable two-factor authentication,C,
"During the SolarWinds Compromise (C0024), what specific method did APT29 use to make changes to the Office 365 environment?",Exploiting zero-day vulnerabilities,Crafting spear-phishing emails,Using compromised service principals,Intercepting network traffic,C,
Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?,Application Developer Guidance (M1013),Encrypt Sensitive Information (M1041),Restrict Web-Based Content (M1021),Audit (M1047),A,
"According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?",File transfer logs,Network traffic patterns,Web Credential Usage,User login attempts,C,
What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?,To encrypt the authentication channel used in communications,To authenticate as a user without having access to their cleartext password,To intercept and manipulate network traffic,To encrypt stored password hashes,B,
Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?,APT29,APT41,APT33,APT32,B,
How does 'Overpass the Hash' differ from 'Pass the Hash'?,It introduces encryption to communications,It uses the password hash to create a Kerberos ticket,It only works on Linux systems,It requires re-authentication every session,B,
What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?,4662,4624,4672,4769,B,
Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?,Malware protection,Intrusion detection,Privileged Account Management,Antivirus software,C,
Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?,Mimikatz,CrackMapExec,BADHATCH,Cobalt Strike,C,
Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?,It can access all resources in a domain,It is used to request service tickets for other resources,It allows access to a specific resource,It involves the use of NTLM password hash,C,
"According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?",EVENT::DCSync,DCOM::DUMP,LSADUMP::DCSync,PTT::EXTRACT,C,
Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?,M1027: Password Policies,M1026: Privileged Account Management,M1018: User Account Management,M1015: Active Directory Configuration,D,
How can APT32 use Pass the Ticket as per MITRE ATT&CK T1550.003?,By creating forged tickets for administrative access,By breaching SharePoint access,By capturing TGT via OS Credential Dumping,By performing overpassing the hash,C,
"Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?",Event ID 4657,Event ID 4769,Event ID 2017,Event ID 4776,B,
"Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?",Implementing multi-factor authentication (MFA),Regularly updating user credentials,Monitoring application logs for unusual activities,Configuring browsers to regularly delete persistent cookies,D,
"During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?",APT28,APT29,APT33,APT41,B,
Which of the following groups used spearphishing emails to lure targets into downloading a Cobalt Strike beacon? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),APT3,APT32,APT33,APT28,B,
Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),Network Intrusion Prevention,Restrict Web-Based Content,User Training,Email Sandboxing,B,
What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),File Creation,Network Connection Creation,Network Traffic Content,Endpoint Detection and Response (EDR),B,
Which adversary group has used OneDrive links for users to download files for execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),BlackTech,Bazar,Emotet,Bumblebee,D,
What file types are specifically recommended to be blocked in transit as a part of web-based content restriction? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),".pdf, .doc, .xls",".scr, .exe, .pif, .cpl",".lnk, .bat, .cmd",".zip, .rar",B,
Which group employed URLs hosted on Google Docs to host decoys that lead to execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),Bazar,APT3,Leviathan,PLEAD,A,
"According to MITRE ATT&CK technique T1204.002, which of the following file types have NOT been mentioned as examples of files that adversaries can use to execute malicious code?",.doc,.iso,.pdf,.scr,B,
Which cyber threat group used malicious Microsoft Office attachments with macros during the 2015 Ukraine Electric Power Attack?,Sandworm Team,admin@338,APT29,APT19,A,
"In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?",Execution Prevention,Behavior Prevention on Endpoint,User Training,Network Segmentation,B,
Which tool has been spread through users' interaction with malicious .zip and .msi files as per MITRE ATT&CK pattern T1204.002?,Disco,Mustang Panda,Dridex,APT32,A,
Which data source can be monitored for detecting file creation events to identify malicious activity under MITRE ATT&CK technique T1204.002?,Network Traffic,Process,File,Registry,C,
"In the ATT&CK pattern T1204.002, which cyber threat group has utilized malicious Microsoft Word and PDF attachments sent via spearphishing?",APT12,APT32,APT41,APT10,A,
Which of the following mitigation strategies involves the use of digital signatures to ensure the integrity and publisher of specific image tags?,Auditing (M1047),Code Signing (M1045),Network Intrusion Prevention (M1031),User Training (M1017),B,
What is one of the primary strategies adversaries use in the T1204.003 technique to increase the likelihood of users deploying their malicious images?,Compromising endpoints,Exploiting zero-day vulnerabilities,Matching legitimate names or locations,Delivering through phishing campaigns,C,
Which data source would be most effective in detecting the creation of new containers from potentially malicious images?,Application Log (DS0015),Command Execution (DS0017),Container Creation (DS0032),Image Creation (DS0007),C,
The cyber threat group TeamTNT is known for relying on which of the following methods to execute their attacks?,Injecting malicious code into firmware,Using malicious Docker images,Compromising supply chain software,Exploiting buffer overflows,B,
"In the context of MITRE ATT&CK Enterprise, which tool uses the MISC::AddSid module for SID-History Injection?",Empire,Mimikatz,Metasploit,Cobalt Strike,B,
Which of the following is a mitigation strategy for SID-History Injection according to the MITRE ATT&CK framework?,Using Group Policy Objects,Implementing network segmentation,Cleaning up SID-History attributes after legitimate account migration,Using antivirus software,C,
Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?,Access Token Manipulation: SID-History Injection,Process Hollowing: Injected Execution,Manipulation of Writing Permissions: ACL-Busting,Remote Access: Credential Dumping,A,
"In the context of T1078.001 Valid Accounts: Default Accounts, which malware leveraged default credentials to connect to IPC$ shares on remote machines?",Stuxnet,HyperStack,Mirai,Magic Hound,B,
"Based on T1078.001 Valid Accounts: Default Accounts, what is a recommended mitigation strategy to protect against the use of default credentials?",Encrypting data at rest,Implement Multi-Factor Authentication,Change default username and password immediately after installation,Regular system updates and patches,C,
Which technique ID corresponds with adversaries abusing domain accounts?,T1078.001,T1078.002,T1078.003,T1078.004,B,
Which detection method involves monitoring remote desktop logons and comparing them to known/approved originating systems to detect lateral movement?,Logon Session Creation,Logon Session Metadata,User Account Authentication,Event Log Analysis,A,
Which adversary group is known to use legitimate account credentials to move laterally through compromised environments?,APT3,APT5,Cobalt Strike,CreepySnail,B,
Which mitigation involves integrating multi-factor authentication (MFA) as part of organizational policy?,User Training,Privileged Account Management,Network Segmentation,Multi-factor Authentication,D,
What active event code should be monitored in Windows to track Security Logs for user login behaviors?,Event ID 4624,Event ID 4634,Event ID 4627,Event ID 4663,A,
Which adversary group leveraged valid accounts to deploy malware by obtaining highly privileged credentials such as domain administrator?,Cinnamon Tempest,Indrik Spider,Magic Hound,Operation CuckooBees,A,
Which of the following threat actors have been known to use local accounts for lateral movement during the SolarWinds Compromise?,APT29,APT32,FIN7,Kimsuky,A,
APT32 is known to use which type of account for their operations according to the examples?,Domain Admin Accounts,Service Accounts,Local Admin Accounts,SYSTEM Accounts,C,
Which mitigation involves the implementation of LAPS to prevent the reuse of local administrator credentials?,Privileged Account Management,Password Policies,Monitor Logon Sessions,User Account Permissions,A,
What data source should be monitored to detect multiple accounts logging into the same machine simultaneously?,Logon Session,User Account,Process Monitoring,Network Traffic,A,
Which tool is used by Kimsuky to add a Windows admin account?,Cobalt Strike,GREASE,PsExec,Umbreon,B,
Which malware is specifically noted to record the user's webcam in macOS according to the technique ID T1125 - Video Capture?,FruitFly and Proton,Agent Tesla and Cobian RAT,DarkComet and Kazuar,WarzoneRAT and SDBbot,A,
Which data source and component combination is suggested for detecting the technique T1125 - Video Capture?,Command Execution and File Creation,Process and OS API Execution,OS API Execution and Network Traffic,Command Execution and OS API Execution,b,
Which malware from the provided examples can access a connected webcam and capture pictures?,InvisiMole,SDBbot,Derusbi,Pupy,D,
How does the technique T1125 - Video Capture differ from Screen Capture in terms of execution?,It uses system resources for video recording,It uses specific devices or applications for video recording,It requires higher privileges,It captures images periodically instead of videos,B,
Which malware utilizes a custom video recording capability to monitor operations in the victim's environment?,FIN7,QuasarRAT,jRAT,T9000,A,
Which of the following malware families has been documented to use anti-virtualization checks as part of Virtualization/Sandbox Evasion (T1497)?,Agent Tesla,S0253 BlackEnergy,APT34,Application,A,
What is a common method used by adversaries to evade detection in sandbox environments according to T1497?,Overloading sandbox analysis with numerous API calls,Encrypting the payload using RSA,Using DNS tunneling for C2 communication,Exploiting zero-day vulnerabilities,A,
"Which of the following malware samples is known to perform system checks to determine if the environment is running on VMware, as part of the technique T1497?",Bisonal,Black Basta,Carberp,StoneDrill,B,
How can adversaries use sleep timers or loops in the context of Virtualization/Sandbox Evasion (T1497)?,To initiate lateral movement within the network,To disrupt file integrity monitoring,To delay execution and avoid temporary sandbox analysis,To execute ransomware payloads,C,
"During Operation Spalax, what technique did threat actors use to evade anti-analysis checks?",Encrypting C2 communications,Just-in-time decryption of strings,Using WMI for persistence,Running anti-analysis checks before executing malware,D,
Which of the following is a detection source for identifying Virtualization/Sandbox Evasion (T1497) tactics?,Network traffic monitoring,Command Execution,Behavioral analysis of email attachments,USB device history,B,
What technique ID corresponds to Virtualization/Sandbox Evasion: System Checks?,T1497.002,T1497.003,T1497.001,T1497.004,C,
Which of the following data sources can be monitored to detect commands that may employ virtualization/sandbox evasion techniques?,Command,Log,Network traffic,File Execution,A,
What behavior might Astaroth (S0373) use to evade virtualized environments?,Enumerate running processes,Check CPU core count,Check Windows product IDs used by sandboxes,Check MAC address of infected machine,C,
Which of these malware samples checks the amount of physical memory to determine if it is being executed in a virtual environment?,EvilBunny (S0396),Attack (S0438),Okrum (S0439),MegaCortex (S0576),C,
Which tool did Lazarus Group use during Operation Dream Job for VM/sandbox detection?,Vmware tools,Analysis libraries,System checks,All of the above,D,
Which malware is known to use the speed and frequency of mouse movements to determine if a real user is present on the system?,Darkhotel,FIN7,Okrum,Spark,A,
"In MITRE ATT&CK technique T1497.002, what kind of user activity might adversaries rely on before activating malicious code?",Network traffic analysis,User login timestamps,Mouse movements and clicks,Firewall settings,C,
What data source and component can be monitored to detect actions related to API calls meant for virtualization and sandbox evasion?,Process | Network Connection,Network | DNS Query,Logs | SIEM,Data Source | Process | OS API Execution,D,
Which of the following groups uses a loader that executes the payload only after a specific user action to avoid virtualized environments?,Darkhotel,FIN7,Okrum,Spark,C,
Which technique is commonly referred to as API hammering?,Avoiding system scheduling functionality,Looping benign commands,Emulating time-based properties,Calling multiple Native API functions,D,
Which procedure example uses NtDelayExecution for pausing execution?,Clambling,BendyBear,Crimson,Brute Ratel C4,D,
How does EvilBunny identify a sandbox through time-based evasion?,Using sleep intervals from CPUID,Comparing timestamps before and after sleep,Checking for virtual environment flags,Using file I/O loops to delay process execution,B,
Which malware example uses the kernel32.dll Sleep function to delay execution for up to 300 seconds?,SVCReady,Clop,DarkTortilla,GuLoader,C,
Which of the following employs a 30-minute delay after execution to evade sandbox monitoring tools?,Okrum,Ursnif,TrickBot,HermeticWiper,B,
How does Clop avoid sandbox detection?,Using GetTickCount function,Disabling system clock Scheduled Task/Job,Calling NtDelayExecution,Using the sleep command,D,
"Given the MITRE ATT&CK technique T1600.002 on Defense Evasion, which method is primarily used by adversaries to disable dedicated hardware encryption on network devices?",Network Device CLI,Modify System Image,Remote Service Session,Injection of Malicious Code,B,
Which data component should be monitored to detect unexpected deletions of user accounts associated with T1531 (Account Access Removal) under the tactic of Impact?,Active Directory Object Modification,Process Creation,File Creation,User Account Deletion,D,
Which procedure example under T1531 involves adversaries deleting administrator accounts prior to encryption?,Aviron (S0373),LockerGoga (S0372),LAPSUS$ (G1004),Akira (G1024),D,
"When adversaries use the T1531 technique on Windows platforms, which PowerShell cmdlet might they use?",Get-ADUser,New-LocalUser,Set-LocalUser,Get-ADAccountPassword,C,
"In the context of MITRE ATT&CK Technique T1600.001 for Enterprise, which of the following activities could an adversary manipulate to facilitate decryption of data?",Increase the length of the encryption key,Reduce the encryption key size,Alter the hashing algorithm used in encryption,Change the network protocol for data transmission,B,
"Regarding detection for the MITRE ATT&CK Technique T1600.001 (Weaken Encryption: Reduce Key Space) on Enterprise platforms, which method can potentially identify this behavior?",Analyzing user login patterns,Monitoring file modification events,Inspecting data packet sizes,Reviewing firewall logs,B,
Adversaries using T1102.001: Web Service: Dead Drop Resolver often utilize popular websites and social media platforms to host C2 information. What is one reason this tactic is effective?,A. It uses unique domain names that evade detection.,"B. Hosts within a network often already communicate with these services, blending in with normal traffic.",C. It employs outdated SSL/TLS protocols that are rarely monitored.,D. It exploits common vulnerabilities found in web applications.,B,
"Which threat group is known to use multiple tech community forums to frequently update dead drop resolvers for their KEYPLUG Windows-version backdoor, according to T1102.001?",A. APT41,B. BRONZE BUTLER,C. RTM,D. Patchwork,A,
"In the context of technique T1102.001: Web Service: Dead Drop Resolver, which mitigation strategy involves using network signatures to identify and block adversary malware?",A. Restrict Web-Based Content,B. Network Intrusion Prevention,C. Use Secure Password Vaults,D. Implement Multi-Factor Authentication,B,
"Given the detection strategy for T1102.001: Web Service: Dead Drop Resolver, which data source focuses on detecting network traffic that does not follow expected protocol standards and traffic flows?",A. Network Traffic Flow,B. Host-Based Firewall Logs,C. DNS Query Logs,D. Network Traffic Content,D,
Which malware is known to use Microsoft's TechNet Web portal for obtaining dead drop resolvers according to T1102.001?,A. BLACKCOFFEE,B. PlugX,C. Grandoreiro,D. MiniDuke,A,
Which MITRE ATT&CK tactic does Technique ID T1102.002 belong to?,Exfiltration,Command and Control,Collection,Persistence,B,
What is a common method used by adversaries for outbound traffic in Technique ID T1102.002?,Using DNS tunneling,Sending emails to command servers,Making HTTP requests to compromised blogs,Using FTP to upload data,C,
"In the provided examples, which adversary group uses Google Drive for command and control according to Technique ID T1102.002?",APT12,APT28,Carbanak,HEXANE,B,
Which of the following mitigations would be most effective against Technique ID T1102.002?,Implementing Endpoint Detection and Response tools,Using obfuscation techniques for sensitive data,Implementing Network Intrusion Prevention,Regularly updating antivirus definitions,C,
Which adversary uses RSS feeds among their C2 communication channels as per the examples listed in Technique ID T1102.002?,BLACKCOFFEE,BLUELIGHT,BADNEWS,Revenge RAT,C,
"In the context of detection for Technique ID T1102.002, what should be monitored to detect anomalous communications?",File access patterns,CPU usage spikes,Newly constructed network connections,User authentication logs,C,
Adversaries using the MITRE ATT&CK technique T1102.003 may utilize which of the following methods for C2 communication?,Modifying registry keys to send commands,Using legitimate external Web services to send commands,Embedding commands in local log files,Utilizing proprietary VPN services,B,
"In the MITRE ATT&CK framework, which technique (ID: T1047) is used by adversaries to abuse Windows Management Instrumentation for command execution?",A) T1021.001 - Remote Services: Remote Desktop Protocol,B) T1047 - Windows Management Instrumentation,C) T1053.003 - Scheduled Task/Job: Cron,D) T1078 - Valid Accounts,B,
"During the 2016 Ukraine Electric Power Attack, how did adversaries employ WMI (ID: T1047)?",A) To steal financial information,B) To gather AV products installed,C) For remote execution and system surveys,D) To delete shadow copies,C,
Which of the following ports does WMI use for Remote WMI over WinRM operations?,"A) 80 for HTTP, 443 for HTTPS","B) 5985 for HTTP, 5986 for HTTPS","C) 135 for RPC, 445 for SMB","D) 3306 for MySQL, 5432 for PostgreSQL",B,
"Which tool, deprecated as of January 2024, can be used to abuse WMI for deleting shadow copies using the command wmic.exe Shadowcopy Delete?",A) PowerShell,B) wbemtool.exe,C) wmic.exe,D) deprecated.exe,C,
What mitigation strategy involves using Windows Defender Application Control (WDAC) policy rules to block the execution of wmic.exe on Windows 10 and Windows Server 2016?,A) M1040 - Behavior Prevention on Endpoint,B) M1038 - Execution Prevention,C) M1026 - Privileged Account Management,D) M1018 - User Account Management,B,
Which threat group (ID: G0016) used WMI to steal credentials and execute backdoors at a future time?,A) APT32,B) APT29,C) APT41,D) FIN7,B,
"In the LATACH G framework, which group has been attributed to the use of ransomware from a batch file in a network share?",BRONZE BUTLER,Cinnamon Tempest,Ursnif,Ramsay,B,
Which group used a virus that propagates by infecting executables stored on shared drives according to the provided document?,Darkhotel,Miner-C,Conti,H1N1,A,
What is the main focus of the mitigation ID M1022 in the provided text?,Exploit protection,Execution prevention,Antivirus/antimalware,Restricting file and directory permissions,D,
"What data source ID should be monitored for unexpected and abnormal accesses to network shares, according to the provided document?",DS0022 - File,DS0007 - Process,DS0033 - Network Share,DS0044 - Account,C,
Which of the following Linux commands can be used by adversaries to gather the current time on a Linux device?,`gettimeofday()`,`time()`,`clock_gettime()`,`timespec_get()`,B,
Which of the following tactics does MITRE ATT&CK technique T1124 align with?,Persistence,Execution,Discovery,Collection,C,
Which of the following procedures can specifically determine the System UPTIME?,AvosLocker,Agent Tesla,BendBear,BADHATCH,D,
Which data source can help detect an adversary performing System Time Discovery on a Windows platform?,Command Line History,DNS Query,Process OS API Execution,Web Traffic Monitoring,C,
"For the technique T1124, which command can adversaries use on a macOS system to gather the current time zone information?",`date`,`systemsetup -gettimezone`,`clock`,`tzutil`,B,
"In the context of MITRE ATT&CK for Enterprise, which of the following adversarial groups has used a custom MBR wiper named BOOTWRECK to initiate a system reboot?",APT37,APT38,Lazarus Group,HermeticWiper,B,
Which MITRE ATT&CK T1529 adversary behavior example involves a delay before rebooting the system?,AcidRain,KillDisk,DCSrv,LockerGoga,C,
For which platform does the MITRE ATT&CK technique T1529 apply and why is it challenging to mitigate with preventive controls?,ICS platform; because it depends on system configuration settings,Mobile platform; because it relies on specific OS features,None; because it is based on the abuse of system features,Enterprise platform; because it disrupts system monitoring,C,
Which technique is identified as T1087 in the MITRE ATT&CK framework?,Initial Access,Execution,Account Discovery,Defense Evasion,C,
Which of the following mitigation strategies helps prevent enumerating administrator accounts through UAC elevation?,M1028 - Operating System Configuration,M1018 - User Account Management,M1050 - Data Masking,M1047 - Audit,A,
"During the SolarWinds Compromise, which tool did APT29 use to get a list of users and their roles from an Exchange server?",PowerShell with Get-LocalUser,lsass.exe with mimikatz wmiapsrv,woody.exe,"During the SolarWinds Compromise, APT29 used Get-ManagementRoleAssignment in Exchange.",D,
Which data source and component should be combined to detect file access operations related to user account listings?,DS0017 - Command Execution,DS0022 - File Access,DS0009 - Process Creation,DS0018 - Network Traffic,B,
"Under the MITRE ATT&CK framework for Enterprise, which mitigation can help prevent adversaries from creating or interacting with system services using a lower permission level?",M1026 - Behavior Prevention on Endpoint,M1040 - Privileged Account Management,M1026 - Privileged Account Management,M1022 - Restrict File and Directory Permissions,C,
"Regarding MITRE ATT&CK Technique T1569 (System Services), which detection method involves observing for command line invocations of tools capable of modifying services?",DS0009 - Process Creation,DS0017 - Command Execution,DS0019 - Service Creation,DS0024 - Windows Registry Key Modification,B,
"According to MITRE ATT&CK, which adversary group has been known to create system services to execute cryptocurrency mining software?",APT41,TA505,TeamTNT,UNC1878,C,
"In the context of MITRE ATT&CK for Enterprise, which command can be used to discover Windows services?",A. ls -l,B. sc query,C. cat /etc/services,D. get-service,B,
"Which threat actor is known for using the command net start to discover system services, according to the MITRE ATT&CK pattern for System Service Discovery (T1007)?",A. Turla,B. admin@338,C. Kimsuky,D. Earth Lusca,B,
